"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2020","7.7504","7.7504","7.7508","7.7498","","0.01%"
"06/19/2020","7.7500","7.7503","7.7507","7.7499","","0.00%"
"06/18/2020","7.7502","7.7502","7.7507","7.7498","","0.00%"
"06/17/2020","7.7500","7.7501","7.7505","7.7498","","0.00%"
"06/16/2020","7.7500","7.7505","7.7529","7.7498","","0.00%"
"06/15/2020","7.7503","7.7503","7.7509","7.7498","","0.01%"
"06/12/2020","7.7498","7.7505","7.7509","7.7498","","0.00%"
"06/11/2020","7.7501","7.7501","7.7510","7.7499","","0.00%"
"06/10/2020","7.7500","7.7502","7.7505","7.7498","","0.00%"
"06/09/2020","7.7499","7.7501","7.7508","7.7498","","0.00%"
"06/08/2020","7.7500","7.7505","7.7505","7.7498","","0.00%"
"06/05/2020","7.7499","7.7501","7.7505","7.7498","","0.00%"
"06/04/2020","7.7500","7.7502","7.7507","7.7498","","0.00%"
"06/03/2020","7.7502","7.7509","7.7512","7.7500","","-0.01%"
"06/02/2020","7.7508","7.7513","7.7515","7.7502","","0.00%"
"06/01/2020","7.7507","7.7510","7.7547","7.7506","","0.00%"
"05/29/2020","7.7509","7.7527","7.7551","7.7506","","-0.02%"
"05/28/2020","7.7526","7.7547","7.7553","7.7519","","-0.02%"
